Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
Eureka,Eureka,40.7934759,-124.1552744,623042,Humboldt,Humboldt County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,26
Daly City,Daly City,37.7009406,-122.4649790,617918,San Mateo,San Mateo County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,107
Merced,Merced,37.3056953,-120.4778715,646898,Merced,Merced County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,86
Fairfield,Fairfield,38.2592897,-122.0320951,623182,Solano,Solano County,City,Allowed,Allowed,Prohibited,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,116
San Francisco,San Francisco,37.7272391,-123.0322294,667000,San Francisco,City and County of San Francisco,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,883
Unincorporated Monterey County,,,,,Monterey,Monterey County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,No,443,
Jurupa Valley,Jurupa Valley,34.0025907,-117.4676122,637692,Riverside,Riverside County,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Non-storefront: Silent,2022-01-22,No,No,,,106
Rio Dell,Rio Dell,40.4955909,-124.1149295,660900,Humboldt,Humboldt County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,"Retail (Non-storefront), Micro: Silent",2022-01-22,No,No,,,3
Walnut Creek,Walnut Creek,37.9026660,-122.0404790,683346,Contra Costa,Contra Costa County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,70
Farmersville,Farmersville,36.3053520,-119.2081346,623616,Tulare,Tulare County,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,11
Calexico,Calexico,32.6849016,-115.4943619,609710,Imperial,Imperial County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,41
Hollister,Hollister,36.8563746,-121.3981157,634120,San Benito,San Benito County,City,Limited-Medical Only,Limited,Allowed,Allowed,Limited,Allowed,"Retail (Non-storefront): delivery from storefronts only
Cultivation: Indoor only",Micro: Silent,2022-01-22,No,No,,,36
Arvin,Arvin,35.1943611,-118.8305687,602924,Kern,Kern County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: indoor only,Prohibits delivery from outside of the jurisdiction,2022-01-22,No,No,,,21
Unincorporated Inyo County,,,,,Inyo,Inyo County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,18,
Culver City,Culver City,34.0058204,-118.3967807,617568,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,39
Los Angeles,Los Angeles,34.0193936,-118.4108248,644000,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,4
